Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
E: D + 100 K training/test splits,4.598092447210144e-05,2.056638240814209,page-blocks
IPS,0.00023775531649700325,0.0040280818939208984,pendigits
DM,0.04969332377874637,0.01099705696105957,pendigits
DR,1.9852521459906098e-05,0.008000612258911133,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,1.9852521459906098e-05,0.2988014221191406,pendigits
B: A + one SE rule,1.9852521459906098e-05,0.1960151195526123,pendigits
C: A + theory split ratio,1.9852521459906098e-05,0.5855615139007568,pendigits
D: B + C,1.9852521459906098e-05,0.5602936744689941,pendigits
E: D + 100 K training/test splits,1.9852521459906098e-05,4.8535871505737305,pendigits
IPS,0.0013729716139430053,0.002168893814086914,satimage
DM,0.017417265221527232,0.009246110916137695,satimage
DR,9.196753698605412e-05,0.005000591278076172,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0013729716139430053,0.19421911239624023,satimage
B: A + one SE rule,9.196753698605412e-05,0.11419868469238281,satimage
C: A + theory split ratio,9.196753698605412e-05,0.41535162925720215,satimage
D: B + C,9.196753698605412e-05,0.382051944732666,satimage
E: D + 100 K training/test splits,9.196753698605412e-05,3.5125370025634766,satimage
IPS,1.0544535126862055e-06,0.0,vehicle
DM,0.00874916025497417,0.015625,vehicle
DR,1.1806971166602813e-05,0.0,vehicle
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.00874916025497417,0.05110812187194824,vehicle
B: A + one SE rule,1.1806971166602813e-05,0.0291903018951416,vehicle
C: A + theory split ratio,1.1806971166602813e-05,0.11316943168640137,vehicle
D: B + C,1.1806971166602813e-05,0.13381195068359375,vehicle
E: D + 100 K training/test splits,1.1806971166602813e-05,1.1664021015167236,vehicle
IPS,0.000501688196528687,0.0011477470397949219,yeast
DM,0.005523451812847355,0.003814220428466797,yeast
DR,0.002134697686359889,0.0013244152069091797,yeast
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.000501688196528687,0.07481622695922852,yeast
B: A + one SE rule,0.000501688196528687,0.03229689598083496,yeast
C: A + theory split ratio,0.002134697686359889,0.16442275047302246,yeast
D: B + C,0.002134697686359889,0.17215394973754883,yeast
E: D + 100 K training/test splits,0.002134697686359889,1.6632835865020752,yeast
IPS,0.024545423172222143,0.0,ecoli
DM,0.0014402782415251433,0.002998828887939453,ecoli
DR,2.2443747709404956e-05,0.0,ecoli
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0014402782415251433,0.05582070350646973,ecoli
B: A + one SE rule,2.2443747709404956e-05,0.02488875389099121,ecoli
C: A + theory split ratio,2.2443747709404956e-05,0.1325082778930664,ecoli
D: B + C,0.0014402782415251433,0.11760234832763672,ecoli
E: D + 100 K training/test splits,2.2443747709404956e-05,1.0815913677215576,ecoli
IPS,0.02879253329263389,0.0,glass
DM,0.006429642201501701,0.0015711784362792969,glass
DR,0.013514412992844616,0.0,glass
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.006429642201501701,0.04097604751586914,glass
B: A + one SE rule,0.006429642201501701,0.017035961151123047,glass
C: A + theory split ratio,0.013514412992844616,0.0958867073059082,glass
D: B + C,0.006429642201501701,0.09717965126037598,glass
E: D + 100 K training/test splits,0.006429642201501701,0.9049522876739502,glass
IPS,1.1184143261826047e-06,0.01819133758544922,letter
DM,0.14820996423762545,0.03850078582763672,letter
