name,address,stars,rating,number of ratings,total price ($),price per night ($),description,images
Bright 3-room apartment in Mustamäe,Mustamäe,3,9.4,20,68,22.67,"Located in Tallinn, 1.5 km from Lake Harku Beach, 3.3 km from Saku Suurhall Arena and 4.4 km from Estonian Open Air Museum, Bright 3-room apartment in Mustamäe provides accommodation with a balcony and free WiFi. Guests benefit from a patio and a children's playground. The air-conditioned apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a fridge and a kettle, and 1 bathroom with a bath and free toiletries. Towels and bed linen are provided in the apartment. A. Le Coq Arena is 6.9 km from the apartment, while Tallinn Train Station is 7.1 km away. The nearest airport is Lennart Meri Tallinn Airport, 10 km from Bright 3-room apartment in Mustamäe.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/2d/a5/41/booking-10084494-485082737-461689.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ea/b9/3a/booking-10084494-483171617-921519.jpg?width=1020&height=1020&xhint=187&yhint=290&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d7/ed/54/booking-10084494-483171646-996507.jpg?width=1020&height=1020&xhint=187&yhint=240&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/90/38/75/booking-10084494-483171636-838511.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ab/a9/d3/booking-10084494-483171592-772116.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Imaginary Hostel,"Vene Street 33, 10123 Tallinn, Harjumaa",5,8,2063,38,12.67,"Imaginary Hostel in Tallinn has a garden and a terrace. Boasting a shared lounge, the hostel is close to several noted attractions, around 1 km from Passenger Terminals A & B and around 0.8 km from Maiden Tower. Free WiFi and a shared kitchen are featured. At the hostel, the rooms are fitted with a desk. The rooms are equipped with a shared bathroom with a shower and a hair dryer. Estonian National Opera is 0.9 km from Imaginary Hostel. Lennart Meri Tallinn Airport is 5 km from the property.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/37/80/34/booking-3769611-531524017-086838.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/4e/97/f9/booking-3769611-531539882-519881.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/32/f4/63/booking-3769611-504623054-048898.jpg?width=1020&height=1020&xhint=386&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/70/c6/13/booking-3769611-531526656-304485.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/49/d5/17/booking-3769611-531524020-096399.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Ring Sport Hostel,"130 Õismäe tee, 13513 Tallinn, Harjumaa",4,8.4,199,42,14,"Conveniently set in the Haabersti district of Tallinn, RING Sport Hostel is set 1.4 km from Saku Suurhall Arena, 2.6 km from Estonian Open Air Museum and 6.7 km from Tallinn Train Station. Among the facilities at this property are a shared kitchen and a shared lounge, along with free WiFi throughout the property. The property is allergy-free and is located less than 1 km from Lake Harku Beach. At the hostel, each room includes a desk. All units will provide guests with a fridge. Alexander Nevsky Cathedral is 7 km from RING Sport Hostel, while Toompea Castle is 7 km away. The nearest airport is Lennart Meri Tallinn Airport, 11 km from the accommodation.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/2f/31/0f/expedia_group-9175996-236361388-889623.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/76/e0/8f/expediav2-9175996-021031-428710.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/4b/47/83/expediav2-9175996-041351-490494.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/38/d7/1d/expedia_group-9175996-230674463-842703.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/02/2c/2d/expediav2-9175996-a4ff88-469756.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Old Town - Hall Square Apartment,Kesklinn,3,8.4,352,84,28,"Old Town - Hall Square Apartment provides accommodation within 3 km of the centre of Tallinn, with free WiFi, and a kitchen with a dishwasher, an oven and a microwave. Located in the Tallinn City-Centre district, the property provides guests with access to a sauna. The apartment features family rooms and facilities for disabled guests. At the apartment complex, each unit is equipped with a wardrobe, a TV, a private bathroom, bed linen and towels. A fridge, a stovetop and kitchenware are also provided, as well as a kettle. At the apartment complex, every unit has a seating area. Popular points of interest near the apartment include Kalarand, Town Hall Square and Tallinn Train Station. The nearest airport is Lennart Meri Tallinn Airport, 5 km from Old Town - Hall Square Apartment.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/c1/0b/ac/booking-523632-559842782-066805.jpg?width=1020&height=1020&xhint=691&yhint=427&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b5/18/76/booking-523632-445976587-166703.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/77/02/47/booking-523632-559839362-435930.jpg?width=1020&height=1020&xhint=691&yhint=427&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/69/e7/e0/booking-523632-555343749-647161.jpg?width=1020&height=1020&xhint=691&yhint=427&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/0b/f3/5a/booking-523632-498459551-147044.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Sirbi House,Põhja-Tallinn,5,9.4,3,137,45.67,"Set in Tallinn, 4.1 km from Lennusadam Seaplane Harbour, 5.5 km from Tallinn Train Station and 5.8 km from Alexander Nevsky Cathedral, Sirbi House offers accommodation with a balcony and free WiFi. Situated 300 metres from Pelgurand Beach, the property features a terrace and free private parking. This 1-bedroom villa will provide you with a flat-screen TV, air conditioning and a living room. The accommodation is fitted with a kitchenette. Toompea Castle is 5.9 km from the villa, while Town Hall Square is 6 km from the property. The nearest airport is Lennart Meri Tallinn Airport, 10 km from Sirbi House.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/cc/28/04/booking-10049597-482211695-507949.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b1/41/fe/booking-10049597-482211688-499351.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b9/6d/04/booking-10049597-482211647-446733.jpg?width=1020&height=1020&xhint=403&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ad/bc/9f/booking-10049597-484337990-273092.jpg?width=1020&height=1020&xhint=336&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/99/12/72/booking-10049597-486798586-281759.jpg?width=1020&height=1020&xhint=436&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Kopli Apartment,Põhja-Tallinn,5,7.4,135,31,10.33,"Offering inner courtyard views, Kopli Apartment is an accommodation set in Tallinn, 2 km from Pelgurand Beach and 2.5 km from Kalarand. The property is situated 2.7 km from Lennusadam Seaplane Harbour, 3.6 km from Tallinn Train Station and 3.8 km from Alexander Nevsky Cathedral. Estonian National Opera is 4.4 km from the apartment and Maiden Tower is 4.9 km away. The units have a fully equipped kitchen with dining area, a microwave, kettle, and a fridge. Featuring a private bathroom with a shower and a hair dryer, units at the apartment complex also provide guests with free WiFi. The units feature bed linen. Toompea Castle is 3.9 km from the apartment, while Town Hall Square is 4 km away. The nearest airport is Lennart Meri Tallinn Airport, 8 km from Kopli Apartment.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/b6/45/2c/booking-4679151-492915038-767875.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/35/3e/0f/booking-4679151-181984371-178792.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3f/39/15/booking-4679151-181984484-187791.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e7/86/9c/booking-4679151-195039213-205326.jpg?width=1020&height=1020&xhint=520&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/51/a4/be/booking-4679151-492915043-777911.jpg?width=1020&height=1020&xhint=487&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Villa Tiigi,Nõmme,3,9.2,161,65,21.67,"Offering a garden and barbecue facilities, Villa Tiigi is located in Tallinn, a 20-minute drive from the city centre. Free WiFi access is available in this homestay. The rooms feature a wardrobe and access to shared bathroom facilities. Most rooms have a desk and ironing facilities are available upon request. The property is 500 m from Nõmme Sports Centre, which features outdoor pools, floodlit ski tracks and adventure trails. Ski rent is also available. An array of activities can be enjoyed on site or in the surroundings, including skiing and cycling. If you feel like visiting the surroundings, check out Von Glehn (Hohenhaupt) castle and park (800 m) and Estonian Open Air Museum (4.9 km). Tallinn Tehcnical University and campus are 1 km away.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/e8/42/95/booking-1233809-38773457-image.jpg?width=1020&height=1020&xhint=691&yhint=345&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e8/42/95/booking-1233809-38773461-image.jpg?width=1020&height=1020&xhint=691&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/30/92/83/booking-1233809-206422879-842869.jpg?width=1020&height=1020&xhint=640&yhint=433&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d5/03/1f/booking-1233809-41273492-image.jpg?width=1020&height=1020&xhint=691&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/30/92/83/booking-1233809-206422946-697351.jpg?width=1020&height=1020&xhint=691&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10']"
Tallinn City Apartments Roosikrantsi,Kesklinn,5,9.1,114,150,50,"3 bedroom apartment with sauna and 100 m2 terrace is located behind Town Hall, over the road from Old Town. It is modern building with elevator. The area is one of most highly valued in Tallinn. The space Apartment has 3 separate good size bedrooms. There is a kitchen with dining area. What makes this apartment unique is huge terrace outside of living room what will be set up for the summer period with dining and sitting area. Other things to note -A refundable security deposit of 300€ is collected directly from the guests credit card on arrival. Deposit will be returned latest 24 hours after check-out if there are no damages. - No reservations can be made by persons under 21. Reservations made by persons under 21 will not be accommodated. - Parties and large social gatherings are not allowed - Neighbours should not be disturbed with loud music and noise during the quiet hours between 23:00 and 7:00 - Smoking is not allowed indoors - If the house rules are violated then you must vacate the apartments and are subject to a fine of 150 euros for smoking and 200 euros for partyingVRBORead less","['https://content.r9cdn.net/rimg/himg/01/5a/5d/expedia_group-6120462-0173a6-983339.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/10/e4/56/expedia_group-6120462-a1e23b-901183.jpg?width=1020&height=1020&xhint=480&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/5c/9d/ae/expedia_group-6120462-4745c0-893346.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/45/ed/52/expedia_group-6120462-b1da26-933504.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ba/5d/34/expedia_group-6120462-490622-925607.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
White Villa,"Kännu 26, 13417 Tallinn, Harjumaa",3,8.5,303,47,15.67,"This villa is located in the quiet garden suburb of Kristiine, just 3 km from Tallinn’s Old Town district. White Villa offers free Wi-Fi and a wood-heated sauna. All non-smoking rooms, suites and apartments at White Villa Tallinn are uniquely designed and provide a homelike atmosphere. All include a TV, desk, extra large beds and a private bathroom with shower and heated floors. Guests are welcome to relax in the courtyard of White Villa. This includes garden furniture, barbecue facilities, a swing and fruit trees. A hearty breakfast is made to order each morning. A conference room with a fireplace can also be hired by the hour. On-site parking is free at White Villa. They offer bicycle rental and can also arrange car hire.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/5b/ec/a8/booking-420633-50987751-image.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/46/5b/55/booking-465656-157636971-701817.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/eb/3d/1b/booking-420633-329974489.jpg_k=26ecbee0132a3151d87ccc07bb6c63d0d0cccfb04e1c0c39e2fe4fbe651eb8c6_o=-313566.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/67/c1/c9/booking-420633-70594560-image.jpg?width=1020&height=1020&xhint=532&yhint=344&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/eb/3d/1b/booking-420633-230435222.jpg_k=74dfa2d17689884f0682aa9e1db6d7ca1c319717f4c088f6161524e3e3b34a31_o=-225289.jpg?width=1020&height=1020&xhint=504&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Stylish Volta Quarter Studios - Keyless check-in,Põhja-Tallinn,4,6.7,1,41,13.67,"Stylish Volta Quarter Studio - Keyless check-in is situated in the Põhja-Tallinn district of Tallinn, 1.3 km from Lennusadam Seaplane Harbour, 1.7 km from Tallinn Train Station and 2.5 km from Town Hall Square. The property is around 3.8 km from Alexander Nevsky Cathedral, 3.8 km from Toompea Castle and 3.9 km from Maiden Tower. Free WiFi is available throughout the property and Kalarand is 1.8 km away. The kitchen has an oven, a fridge and a stovetop and there is a private bathroom with slippers and a hair dryer. The accommodation is non-smoking. Guests can relax in the garden at the property. Estonian National Opera is 3.9 km from the apartment, while Niguliste Museum-Concert Hall is 4 km from the property. The nearest airport is Lennart Meri Tallinn Airport, 7 km from Stylish Volta Quarter Studio - Keyless check-in.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/cd/ae/8f/booking-1071281943-587421190-585769.jpg?width=1020&height=1020&xhint=665&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/64/9b/6c/booking-1071281943-537194954-890241.jpg?width=1020&height=1020&xhint=665&yhint=435&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3c/30/a0/booking-1071281943-537194912-995534.jpg?width=1020&height=1020&xhint=300&yhint=630&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ac/98/0b/booking-1071281943-537194806-916323.jpg?width=1020&height=1020&xhint=691&yhint=427&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/e8/41/01/booking-1071281943-587421178-566707.jpg?width=1020&height=1020&xhint=665&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10']"
City center apartment in the heart of Tallinn,Kesklinn,4,8.2,4,67,22.33,"Located 2.4 km from Kalarand and 600 metres from Estonian National Opera in the centre of Tallinn, City center apartment in the heart of Tallinn provides accommodation with free WiFi and free private parking. The property is around 1.2 km from Toompea Castle, 1.8 km from Tallinn International Bus Station and 1.6 km from Tallinn Train Station. The property is non-smoking and is situated less than 1 km from Maiden Tower. The recently renovated apartment is equipped with 1 separate bedroom, 1 bathroom, a fully equipped kitchen with a dining area and dishwasher, and a living room with a flat-screen TV. Popular points of interest near the apartment include Niguliste Museum-Concert Hall, Tallinn Town Hall and Alexander Nevsky Cathedral. The nearest airport is Lennart Meri Tallinn Airport, 4 km from City center apartment in the heart of Tallinn.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/90/74/94/booking-1071128363-509112496-732131.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/ba/da/3a/booking-1071128363-509112526-821917.jpg?width=1020&height=1020&xhint=369&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/92/cf/76/booking-1071128363-509112484-754508.jpg?width=1020&height=1020&xhint=487&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/fa/c0/51/booking-1071128363-509112511-793402.jpg?width=1020&height=1020&xhint=352&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b0/9a/cd/booking-1071128363-509112543-841012.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
Villa Kadriorg Hostel,"J.Köleri 2, 10150 Tallinn, Harjumaa",3,7.6,1637,34,11.33,"While you're here, you can enjoy all the comforts of home and more, including free WiFi and a garden, as well as heating and laundry facilities. Other amenities include towels, a picnic area, a fan, and multilingual staff.","['https://content.r9cdn.net/rimg/himg/4c/43/65/expedia_group-5332295-75861267-069820.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/76/a6/48/expedia_group-5332295-176327860-246596.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/39/85/af/expedia_group-5332295-102859415-118314.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c2/05/36/expedia_group-5332295-96745556-112671.jpg?width=1020&height=1020&xhint=540&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a2/7a/50/expedia_group-5332295-200430173-171007.jpg?width=1020&height=1020&xhint=500&yhint=333&crop=true&watermarkheight=28&watermarkpadding=10']"
Attractive Old Town Room with Private Bathroom A,Kesklinn,5,8.5,7,52,17.33,"Offering free WiFi, A.Room in The Old Town with Private Bathroom is situated in the centre of Tallinn within 1.7 km of Kalarand and 2.7 km from Russalka Beach. This apartment is 400 metres from Estonian National Opera and 600 metres from Alexander Nevsky Cathedral. The accommodation is fitted with a kitchenette. Popular points of interest near the apartment include Maiden Tower, Niguliste Museum-Concert Hall and Tallinn Town Hall. The nearest airport is Lennart Meri Tallinn Airport, 4 km from A.Room in The Old Town with Private Bathroom.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/6c/49/14/booking-10240558-571457003-157565.jpg?width=1020&height=1020&xhint=614&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/05/85/ba/booking-10240558-571457017-213251.jpg?width=1020&height=1020&xhint=300&yhint=558&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/4e/1a/0a/booking-10240558-571457012-194639.jpg?width=1020&height=1020&xhint=691&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/77/6d/d4/booking-10240558-571457004-166843.jpg?width=1020&height=1020&xhint=300&yhint=612&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/1a/98/72/booking-10240558-571456995-070921.jpg?width=1020&height=1020&xhint=691&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10']"
Nõmme Apartments,Nõmme,4,8.8,555,68,22.67,"Featuring garden views, Nõmme Apartments features accommodation with patio, around 5.9 km from A. Le Coq Arena. This apartment provides free private parking, a 24-hour front desk and free WiFi. The accommodation offers airport transfers, while a bicycle rental service is also available. At the apartment complex, every unit includes a desk, a flat-screen TV, a private bathroom, bed linen and towels. The units have a kettle, while selected rooms are equipped with a fully equipped kitchenette with a dishwasher, an oven and a microwave. At the apartment complex, some units are allergy-free. A children's playground is also available for guests at the apartment. Saku Suurhall Arena is 6.3 km from Nõmme Apartments, while Estonian Open Air Museum is 7.3 km away. The nearest airport is Lennart Meri Tallinn Airport, 9 km from the accommodation.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/a8/2d/5b/booking-3945712-462661337-075661.jpg?width=1020&height=1020&xhint=470&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/2d/8b/2e/booking-3945712-561852470-948505.jpg?width=1020&height=1020&xhint=304&yhint=540&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/40/c1/ac/booking-3945712-357682908-956983.jpg?width=1020&height=1020&xhint=420&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/88/44/fc/booking-3945712-400895483-224655.jpg?width=1020&height=1020&xhint=386&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/d9/d4/f0/booking-3567835-146143424.jpg_k=0e439e12deb9fe5d9b7b2a849a099e5a0fe8a24f59e0fd7c516231d70afbbd94_o=-917276.jpg?width=1020&height=1020&xhint=453&yhint=230&crop=true&watermarkheight=28&watermarkpadding=10']"
WoHo Luxury appartments,Kristiine,5,8.8,165,68,22.67,"In the Kristiine district of Tallinn, close to A. Le Coq Arena, WoHo Luxury appartments has free WiFi and a washing machine. Boasting a lift, this property also provides guests with a picnic area. When staying at the apartment, guests can use private entrance. All units in the apartment complex are fitted with air conditioning, a seating area, a flat-screen TV with streaming services, a kitchen, a dining area and a private bathroom with free toiletries and a walk-in shower. A balcony with an outdoor dining area and sea views is offered in some units. At the apartment complex, every unit is fitted with bed linen and towels. Guests are welcome to eat in the on-site family-friendly restaurant, which is open for dinner, brunch, cocktails and high tea. A bicycle rental service is available at WoHo Luxury appartments, while hiking can be enjoyed nearby. Pelgurand Beach is 2.5 km from the accommodation, while Tallinn Train Station is 2.5 km from the property. The nearest airport is Lennart Meri Tallinn Airport, 6 km from WoHo Luxury appartments.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/5d/f7/cd/booking-4854871-561985134-287241.jpg?width=1020&height=1020&xhint=665&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/a1/af/5a/booking-4854871-561985153-433165.jpg?width=1020&height=1020&xhint=691&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/c5/b9/a4/booking-4854871-561985154-442638.jpg?width=1020&height=1020&xhint=665&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/64/8f/6f/booking-4854871-561985372-499259.jpg?width=1020&height=1020&xhint=665&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/7e/70/01/booking-4854871-561985553-650425.jpg?width=1020&height=1020&xhint=640&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10']"
Viva Apartment - Pirita,Pirita,3,7.7,147,86,28.67,"Situated in Tallinn, Viva Apartment - Pirita is within a 15-minute drive of Lennart Meri Tallinn Airport and provides a sauna. It also features a playground and a terrace. Apartments at the property feature dishwashers, refrigerators and microwaves. For guests who enjoy exploring local restaurants and cafés, there is a wide variety right on the doorstep. Tallinn Town Hall, Walls of Tallinn and Tallink are only an easy drive from the property.HotelsCombinedRead less","['https://content.r9cdn.net/rimg/himg/4f/f9/8f/ostrovok-2645760-b38ed7-440636.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/b2/aa/1c/ostrovok-2645760-45a144-555833.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/52/f3/05/ostrovok-2645760-f8f5c6-432704.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/7b/93/48/ostrovok-2645760-b94051-424323.jpg?width=1020&height=1020&xhint=512&yhint=399&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/0b/9e/54/ostrovok-2645760-f110bb-402720.jpg?width=1020&height=1020&xhint=288&yhint=414&crop=true&watermarkheight=28&watermarkpadding=10']"
Stylish Studio near Tallinn Old Town,Kesklinn,4,9.5,8,89,29.67,"Stylish Studio near Old Town is located in the Tallinn City-Centre district of Tallinn, 2.7 km from Russalka Beach, 300 metres from Estonian National Opera and less than 1 km from Maiden Tower. This property is set a short distance from attractions such as Alexander Nevsky Cathedral, Toompea Castle, and Tallinn Train Station. The property is 2.2 km from the city centre and 2.1 km from Kalarand. The accommodation is non-smoking. Popular points of interest near the apartment include Niguliste Museum-Concert Hall, Tallinn International Bus Station and Tallinn Town Hall. The nearest airport is Lennart Meri Tallinn Airport, 3 km from Stylish Studio near Old Town.Booking.comRead less","['https://content.r9cdn.net/rimg/himg/68/6d/69/booking-1071259071-546355042-990709.jpg?width=1020&height=1020&xhint=552&yhint=341&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/54/aa/25/booking-1071259071-546355114-101036.jpg?width=1020&height=1020&xhint=491&yhint=341&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/eb/9f/91/booking-1071259071-581357119-296810.jpg?width=1020&height=1020&xhint=691&yhint=426&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/3f/8d/e9/booking-1071259071-546355079-052965.jpg?width=1020&height=1020&xhint=552&yhint=341&crop=true&watermarkheight=28&watermarkpadding=10', 'https://content.r9cdn.net/rimg/himg/93/67/aa/booking-1071259071-546355110-091671.jpg?width=1020&height=1020&xhint=552&yhint=341&crop=true&watermarkheight=28&watermarkpadding=10']"
