Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
\ensuremath{\tt OCV_{DM}},0.0021631418173053106,0.5440397262573242,yeast
IPS,0.025650122412602037,0.001005411148071289,ecoli
DM,0.013189100764599464,0.008995294570922852,ecoli
DR,0.0044107441466301614,0.002013683319091797,ecoli
\ensuremath{\tt OCV_{DM}},0.013189100764599464,0.3260345458984375,ecoli
IPS,0.004242183630335508,0.0009996891021728516,glass
DM,0.005870659464302492,0.009000301361083984,glass
DR,0.012273900603925941,0.0020003318786621094,glass
\ensuremath{\tt OCV_{DM}},0.012273900603925941,0.33733248710632324,glass
IPS,0.0004672028499190795,0.05799984931945801,letter
DM,0.151947821867049,0.11599588394165039,letter
DR,0.0012666579686888974,0.09499597549438477,letter
\ensuremath{\tt OCV_{DM}},0.151947821867049,3.8090462684631348,letter
IPS,0.0018382316653195944,0.009001731872558594,optdigits
DM,0.018286367878911636,0.07400107383728027,optdigits
DR,0.0005374833080441107,0.036992549896240234,optdigits
\ensuremath{\tt OCV_{DM}},0.018286367878911636,2.014003276824951,optdigits
IPS,0.0003045367518229254,0.0050048828125,page-blocks
DM,0.0015374926226347366,0.016996383666992188,page-blocks
DR,3.533769482795759e-05,0.008005857467651367,page-blocks
\ensuremath{\tt OCV_{DM}},0.0015374926226347366,0.6228232383728027,page-blocks
IPS,3.677310484077119e-05,0.019000530242919922,pendigits
DM,0.04751620990512485,0.037999868392944336,pendigits
DR,4.695340427065177e-05,0.023001670837402344,pendigits
\ensuremath{\tt OCV_{DM}},0.04751620990512485,1.3905346393585205,pendigits
IPS,0.0007178751380124423,0.004999399185180664,satimage
DM,0.015362439039941824,0.027003765106201172,satimage
DR,9.663882154964522e-06,0.011998414993286133,satimage
\ensuremath{\tt OCV_{DM}},0.015362439039941824,1.054995059967041,satimage
IPS,4.273365685472329e-05,0.0019998550415039062,vehicle
DM,0.010897017807287995,0.006998538970947266,vehicle
DR,0.0020122324056553484,0.002001047134399414,vehicle
\ensuremath{\tt OCV_{DM}},0.010897017807287995,0.3619973659515381,vehicle
IPS,2.2624342914565154e-05,0.0020029544830322266,yeast
DM,0.0015996026543979402,0.014998674392700195,yeast
DR,0.0002297745803587554,0.00400090217590332,yeast
\ensuremath{\tt OCV_{DM}},0.0015996026543979402,0.4179987907409668,yeast
IPS,0.0017173637845110654,0.0010020732879638672,ecoli
DM,2.4632455917841837e-05,0.007005929946899414,ecoli
DR,0.0009901428862037738,0.003997087478637695,ecoli
\ensuremath{\tt OCV_{DM}},2.4632455917841837e-05,0.33400583267211914,ecoli
IPS,0.009513397920209587,0.0009975433349609375,glass
DM,0.0006106045293959219,0.008995532989501953,glass
DR,6.143679493926917e-05,0.0020041465759277344,glass
\ensuremath{\tt OCV_{DM}},0.009513397920209587,0.2839949131011963,glass
IPS,0.00022842558692813658,0.025998830795288086,letter
DM,0.14943507632054556,0.08199810981750488,letter
DR,0.0009147029776196528,0.0749962329864502,letter
\ensuremath{\tt OCV_{DM}},0.14943507632054556,1.9372661113739014,letter
IPS,0.0003562566864313082,0.0039997100830078125,optdigits
DM,0.017778781700022776,0.027004480361938477,optdigits
DR,0.0002671923653358387,0.01800060272216797,optdigits
\ensuremath{\tt OCV_{DM}},0.017778781700022776,0.8759298324584961,optdigits
IPS,5.3726749111603586e-05,0.0060045719146728516,page-blocks
DM,0.0011661557413151123,0.017998456954956055,page-blocks
DR,2.0071755313565986e-05,0.010000467300415039,page-blocks
\ensuremath{\tt OCV_{DM}},0.0011661557413151123,0.7229995727539062,page-blocks
IPS,0.0012238804171556302,0.0050008296966552734,pendigits
DM,0.052163375896433654,0.018996238708496094,pendigits
DR,0.00027865892431139813,0.013002157211303711,pendigits
\ensuremath{\tt OCV_{DM}},0.052163375896433654,0.764995813369751,pendigits
IPS,7.60061799724058e-05,0.0039997100830078125,satimage
DM,0.015197119020898068,0.016002178192138672,satimage
DR,1.6301900250926902e-06,0.007997274398803711,satimage
\ensuremath{\tt OCV_{DM}},0.015197119020898068,0.5570013523101807,satimage
IPS,0.002156688124247242,0.0009999275207519531,vehicle
DM,0.011901697346389538,0.0039980411529541016,vehicle
DR,0.003047705916544784,0.002000570297241211,vehicle
\ensuremath{\tt OCV_{DM}},0.011901697346389538,0.20200395584106445,vehicle
IPS,0.0017345513188633088,0.0009968280792236328,yeast
DM,0.00036390599200065245,0.007997989654541016,yeast
DR,0.00019088111043438855,0.0020055770874023438,yeast
\ensuremath{\tt OCV_{DM}},0.00036390599200065245,0.26799893379211426,yeast
IPS,0.002530911088766013,0.0010051727294921875,ecoli
DM,0.004896600870956376,0.006992816925048828,ecoli
DR,0.0006170594039768781,0.002003192901611328,ecoli
\ensuremath{\tt OCV_{DM}},0.004896600870956376,0.19499826431274414,ecoli
IPS,0.006704451568357769,0.0,glass
DM,0.017950421294737486,0.004999399185180664,glass
DR,0.018802817270511026,0.001001119613647461,glass
\ensuremath{\tt OCV_{DM}},0.006704451568357769,0.20375919342041016,glass
IPS,0.0001479591989516293,0.05800151824951172,letter
DM,0.14213286319946625,0.13300085067749023,letter
DR,0.0003954123705956818,0.10299968719482422,letter
\ensuremath{\tt OCV_{DM}},0.14213286319946625,3.9599945545196533,letter
IPS,0.000248434747641289,0.006997346878051758,optdigits
DM,0.018899370126323124,0.056005001068115234,optdigits
DR,0.000654938067784938,0.04000210762023926,optdigits
\ensuremath{\tt OCV_{DM}},0.018899370126323124,1.6680011749267578,optdigits
IPS,0.00024748578528523504,0.008006095886230469,page-blocks
DM,0.0006044412927587381,0.018003463745117188,page-blocks
DR,5.5427468217783436e-05,0.007997751235961914,page-blocks
\ensuremath{\tt OCV_{DM}},0.0006044412927587381,0.7014131546020508,page-blocks
IPS,0.0003035791861339598,0.012003421783447266,pendigits
DM,0.043795082925218054,0.0379948616027832,pendigits
DR,3.542826921714231e-05,0.021997690200805664,pendigits
\ensuremath{\tt OCV_{DM}},0.043795082925218054,1.694004774093628,pendigits
IPS,3.7804918233362284e-05,0.006996870040893555,satimage
DM,0.016934282571422342,0.031000137329101562,satimage
DR,1.1144168909000926e-05,0.017995357513427734,satimage
\ensuremath{\tt OCV_{DM}},0.016934282571422342,1.1439886093139648,satimage
IPS,4.6508021390140557e-05,0.0010001659393310547,vehicle
DM,0.002732415579357064,0.009997129440307617,vehicle
DR,0.000313497527311428,0.003003835678100586,vehicle
\ensuremath{\tt OCV_{DM}},0.002732415579357064,0.4230501651763916,vehicle
IPS,0.006400820710705158,0.0020067691802978516,yeast
DM,0.00014677151180782441,0.01699972152709961,yeast
DR,0.0023631524534118657,0.004004240036010742,yeast
\ensuremath{\tt OCV_{DM}},0.00014677151180782441,0.5889992713928223,yeast
IPS,0.011525531527756608,0.001997709274291992,ecoli
DM,0.0019174019537007583,0.008995771408081055,ecoli
DR,0.00020395843708432125,0.0019965171813964844,ecoli
\ensuremath{\tt OCV_{DM}},0.0019174019537007583,0.40999746322631836,ecoli
IPS,0.01613936720108884,0.0010097026824951172,glass
DM,0.00799535709916621,0.011000394821166992,glass
DR,0.007052024319753161,0.0020074844360351562,glass
\ensuremath{\tt OCV_{DM}},0.007052024319753161,0.45099639892578125,glass
IPS,0.00021394560546729444,0.05500006675720215,letter
DM,0.14548679430324696,0.13699793815612793,letter
DR,7.6169878033216065e-06,0.10799574851989746,letter
\ensuremath{\tt OCV_{DM}},0.14548679430324696,4.010002374649048,letter
IPS,0.0005547688212304217,0.010002851486206055,optdigits
DM,0.01666095669542601,0.07099461555480957,optdigits
DR,0.0001697330293739197,0.0400090217590332,optdigits
\ensuremath{\tt OCV_{DM}},0.01666095669542601,2.10599422454834,optdigits
IPS,8.871494281469599e-05,0.001994609832763672,page-blocks
DM,0.0003340082276268929,0.0070002079010009766,page-blocks
DR,0.00020970070615754718,0.003998994827270508,page-blocks
\ensuremath{\tt OCV_{DM}},0.0003340082276268929,0.39299845695495605,page-blocks
IPS,0.0014881559575179678,0.010991096496582031,pendigits
DM,0.05264467294708897,0.039994001388549805,pendigits
DR,0.00022330790205591074,0.025003433227539062,pendigits
\ensuremath{\tt OCV_{DM}},0.05264467294708897,1.474034070968628,pendigits
IPS,0.00030155422607556565,0.005991220474243164,satimage
DM,0.01487729262810121,0.028000354766845703,satimage
DR,1.247346943290701e-06,0.013997316360473633,satimage
\ensuremath{\tt OCV_{DM}},0.01487729262810121,1.1180002689361572,satimage
IPS,0.009263471674140841,0.001997709274291992,vehicle
DM,0.003783681554745818,0.008999824523925781,vehicle
DR,0.0007985134962017151,0.0030028820037841797,vehicle
\ensuremath{\tt OCV_{DM}},0.003783681554745818,0.3699944019317627,vehicle
IPS,0.0038955844586376796,0.0009996891021728516,yeast
DM,0.003716849897642254,0.0070002079010009766,yeast
DR,0.0006907026547696334,0.003006458282470703,yeast
\ensuremath{\tt OCV_{DM}},0.003716849897642254,0.5865476131439209,yeast
IPS,0.012527633730243237,0.0010025501251220703,ecoli
DM,0.001019780293037595,0.00999903678894043,ecoli
DR,0.00616678562895569,0.003998994827270508,ecoli
\ensuremath{\tt OCV_{DM}},0.00616678562895569,0.33299803733825684,ecoli
IPS,0.04844598147311535,0.0009982585906982422,glass
DM,0.00010424450423521296,0.007001399993896484,glass
DR,0.0005079801811857195,0.0019979476928710938,glass
\ensuremath{\tt OCV_{DM}},0.00010424450423521296,0.3260014057159424,glass
IPS,0.0006157770093367947,0.03600335121154785,letter
DM,0.14708169822803188,0.11000442504882812,letter
DR,0.001072276994066904,0.09399890899658203,letter
\ensuremath{\tt OCV_{DM}},0.14708169822803188,3.3949131965637207,letter
IPS,0.000912595648091916,0.007004499435424805,optdigits
DM,0.01624154544864176,0.04599618911743164,optdigits
DR,0.0002902480631291472,0.024999380111694336,optdigits
\ensuremath{\tt OCV_{DM}},0.01624154544864176,1.7079966068267822,optdigits
IPS,0.0004237311792026504,0.003996372222900391,page-blocks
DM,0.0010584378592495996,0.013008594512939453,page-blocks
DR,4.3710324360302237e-07,0.008009195327758789,page-blocks
\ensuremath{\tt OCV_{DM}},0.0010584378592495996,0.5769944190979004,page-blocks
IPS,0.0046759698119371255,0.0049991607666015625,pendigits
DM,0.05634884710242447,0.018007278442382812,pendigits
DR,0.00043166545062436114,0.01100015640258789,pendigits
\ensuremath{\tt OCV_{DM}},0.05634884710242447,0.714998722076416,pendigits
IPS,2.9843951016004373e-05,0.0029993057250976562,satimage
DM,0.017235644860752613,0.01199960708618164,satimage
DR,1.6055692807236498e-05,0.006001472473144531,satimage
\ensuremath{\tt OCV_{DM}},0.017235644860752613,0.5170066356658936,satimage
IPS,0.00048162071640688655,0.0,vehicle
DM,0.007187942497551078,0.004006862640380859,vehicle
DR,0.0007715976738144472,0.000997304916381836,vehicle
\ensuremath{\tt OCV_{DM}},0.007187942497551078,0.17999267578125,vehicle
IPS,0.0016336932811109883,0.0009992122650146484,yeast
DM,0.003137972083472802,0.008001565933227539,yeast
DR,0.0013361473360384134,0.0019974708557128906,yeast
\ensuremath{\tt OCV_{DM}},0.003137972083472802,0.2409992218017578,yeast
IPS,0.04756689394996069,0.0,ecoli
DM,0.029712254930034956,0.00500798225402832,ecoli
DR,0.020461744093975255,0.0019991397857666016,ecoli
\ensuremath{\tt OCV_{DM}},0.020461744093975255,0.149993896484375,ecoli
IPS,0.011694511537641573,0.0,glass
DM,4.6137582779219555e-06,0.0050013065338134766,glass
DR,0.0007344594612148554,0.0010340213775634766,glass
\ensuremath{\tt OCV_{DM}},0.0007344594612148554,0.23601031303405762,glass
IPS,0.0012531168898637136,0.03898882865905762,letter
DM,0.13878479893645312,0.11947870254516602,letter
DR,1.4785342078486153e-05,0.10600161552429199,letter
\ensuremath{\tt OCV_{DM}},0.13878479893645312,3.894620180130005,letter
IPS,0.002589601614223554,0.0110015869140625,optdigits
DM,0.01604453624744543,0.05799150466918945,optdigits
DR,0.00015808153217789227,0.04099893569946289,optdigits
\ensuremath{\tt OCV_{DM}},0.01604453624744543,1.650998592376709,optdigits
IPS,3.0269397026644943e-05,0.0029976367950439453,page-blocks
DM,0.000741105432079062,0.008002281188964844,page-blocks
DR,5.256562652110564e-05,0.004999399185180664,page-blocks
\ensuremath{\tt OCV_{DM}},0.000741105432079062,0.3360002040863037,page-blocks
IPS,0.0007241087282986971,0.011001825332641602,pendigits
DM,0.050441344205062695,0.03999495506286621,pendigits
DR,0.0001697172897292208,0.022001266479492188,pendigits
\ensuremath{\tt OCV_{DM}},0.050441344205062695,1.3240437507629395,pendigits
IPS,5.534429550261584e-06,0.007001161575317383,satimage
DM,0.014751983146101974,0.02599477767944336,satimage
DR,2.991436878489033e-05,0.0149993896484375,satimage
\ensuremath{\tt OCV_{DM}},0.014751983146101974,0.9979922771453857,satimage
IPS,0.0030862039436013178,0.0009999275207519531,vehicle
DM,0.005817953254653535,0.009001016616821289,vehicle
DR,3.1222134171268743e-06,0.003000497817993164,vehicle
\ensuremath{\tt OCV_{DM}},0.005817953254653535,0.4550027847290039,vehicle
IPS,0.0008182469302429511,0.0020017623901367188,yeast
DM,0.0023430365268534855,0.016004085540771484,yeast
DR,0.0012751656241386314,0.0049936771392822266,yeast
\ensuremath{\tt OCV_{DM}},0.0023430365268534855,0.6163656711578369,yeast
IPS,0.04568080340591807,0.0019958019256591797,ecoli
